# Note - You may enter notes about your run here. \u00a0They will be displayed every time this log is loaded.
# Graph Data - 7 Sessions - Saved Wednesday, May 25, 2011
# Start Of Session - Sample Time: 0.500
# Reset Source (Cause of reset):  Normal Boot-up Sequence
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
True        , True        , True        , True        , True        , True        , True        
1.6833      , 63.922      , 24.59       , 0.745       , 31.0        , 90.2        , 63209       
1.6833      , 60.784      , 24.59       , 0.596       , 26.4        , 90.2        , 63406       
1.6833      , 58.431      , 24.59       , 0.745       , 25.5        , 91.0        , 63014       
1.6833      , 58.039      , 24.59       , 0.596       , 24.6        , 91.0        , 62628       
1.6833      , 58.039      , 24.59       , 0.596       , 25.5        , 91.0        , 62246       
1.6833      , 58.039      , 24.59       , 0.596       , 24.6        , 91.0        , 62246       
1.6833      , 59.216      , 24.59       , 0.745       , 25.5        , 91.0        , 62057       
1.6833      , 58.431      , 24.44       , 0.745       , 25.5        , 91.0        , 62821       
1.6833      , 56.078      , 24.59       , 0.596       , 22.8        , 91.0        , 63209       
1.6833      , 53.725      , 24.59       , 0.596       , 21.0        , 89.5        , 63209       
1.6833      , 52.157      , 24.44       , 0.447       , 20.1        , 91.8        , 62821       
1.6833      , 51.765      , 24.59       , 0.596       , 20.1        , 94.2        , 62246       
1.6833      , 52.941      , 24.59       , 0.596       , 21.0        , 91.8        , 61869       
1.6833      , 54.510      , 24.59       , 0.596       , 21.9        , 91.8        , 61682       
1.6833      , 58.431      , 24.59       , 0.745       , 25.5        , 91.8        , 61128       
1.6833      , 62.745      , 24.44       , 0.745       , 26.4        , 91.8        , 60584       
1.6833      , 67.843      , 24.59       , 0.596       , 32.8        , 91.8        , 61311       
1.6833      , 67.843      , 24.59       , 0.745       , 33.7        , 92.6        , 62628       
1.6833      , 63.529      , 24.44       , 0.745       , 28.3        , 93.4        , 63802       
1.6833      , 64.706      , 24.59       , 0.745       , 30.1        , 92.6        , 62821       
1.6833      , 59.216      , 24.59       , 0.745       , 24.6        , 92.6        , 64203       
1.6833      , 54.510      , 24.59       , 0.745       , 18.2        , 92.6        , 62628       
1.6833      , 61.569      , 24.59       , 0.745       , 28.3        , 93.4        , 60049       
1.6833      , 65.098      , 24.59       , 0.745       , 33.7        , 93.4        , 62057       
1.6833      , 67.451      , 24.59       , 0.745       , 32.8        , 93.4        , 60945       
1.6833      , 69.412      , 24.59       , 0.745       , 37.4        , 93.4        , 63014       
1.6833      , 60.784      , 24.59       , 0.745       , 24.6        , 92.6        , 65438       
1.6833      , 58.431      , 24.44       , 0.596       , 22.8        , 95.8        , 61311       
1.6833      , 71.765      , 24.59       , 1.192       , 43.8        , 93.4        , 58500       
1.6833      , 77.647      , 24.73       , 1.490       , 61.1        , 94.2        , 60945       
1.6833      , 74.510      , 24.59       , 0.745       , 44.7        , 92.6        , 64610       
1.6833      , 66.275      , 24.44       , 0.596       , 28.3        , 95.0        , 64815       
1.6833      , 56.471      , 24.44       , 0.596       , 18.2        , 95.8        , 65021       
1.6833      , 67.451      , 24.44       , 1.043       , 32.8        , 95.8        , 57674       
1.6833      , 78.431      , 24.59       , 1.490       , 74.7        , 95.8        , 60226       
1.6833      , 72.549      , 24.44       , 0.745       , 40.1        , 95.8        , 65648       
1.6833      , 61.961      , 24.44       , 0.596       , 21.9        , 97.4        , 66288       
