# Note - Agri-duck 14 sep 12
# Graph Data - 5 Sessions - Saved Friday, September 14, 2012
# Start Of Session - Sample Time: 1.000
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 79.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 80.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 76.8        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 76.8        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 76.8        , 0           
1.2367      , 6.275       , 24.88       , 0.149       , 0.0         , 81.2        , 4052        
1.2602      , 11.765      , 24.73       , 0.149       , 0.0         , 81.2        , 6987        
1.2602      , 11.765      , 24.73       , 0.149       , 0.0         , 81.9        , 8086        
1.3229      , 24.314      , 24.59       , 0.596       , 2.9         , 81.9        , 12292       
1.3464      , 29.412      , 24.29       , 0.596       , 4.8         , 82.7        , 14408       
1.4796      , 55.686      , 22.95       , 1.490       , 23.0        , 82.7        , 24190       
1.1426      , 0.000       , 24.73       , 0.000       , 0.0         , 84.1        , 13786       
1.1426      , 0.000       , 24.73       , 0.000       , 0.0         , 84.1        , 5880        
1.1426      , 0.000       , 24.73       , 0.000       , 0.0         , 84.1        , 3066        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2493        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 81.9        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 81.9        , 0           
1.5344      , 66.275      , 22.20       , 1.639       , 39.2        , 85.7        , 26378       
1.1426      , 0.000       , 24.73       , 0.000       , 0.0         , 84.1        , 9741        
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 86.4        , 4510        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 84.1        , 2683        
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 83.4        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.149       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.1426      , 0.000       , 24.88       , 0.000       , 0.0         , 82.7        , 0           
1.3464      , 29.020      , 24.29       , 0.596       , 3.8         , 84.9        , 15202       
1.4247      , 45.098      , 23.69       , 1.192       , 13.4        , 85.7        , 21720       
1.5815      , 75.686      , 21.46       , 1.788       , 38.3        , 88.7        , 27186       
1.9184      , 100.000     , 17.88       , 0.000       , 75.6        , 87.9        , 35631       
1.9341      , 100.000     , 17.73       , 0.149       , 74.6        , 89.5        , 35141       
1.1348      , 0.000       , 24.14       , 0.000       , 0.0         , 87.9        , 10802       
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 4740        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.29       , 0.000       , 0.0         , 89.5        , 2556        
1.1426      , 0.000       , 24.59       , 0.000       , 0.0         , 86.4        , 0           
1.1426      , 0.000       , 24.59       , 0.000       , 0.0         , 86.4        , 0           
1.1426      , 0.000       , 24.59       , 0.000       , 0.0         , 86.4        , 0           
1.1426      , 0.000       , 24.59       , 0.000       , 0.0         , 86.4        , 0           
1.1426      , 0.000       , 24.59       , 0.000       , 0.0         , 86.4        , 0           
1.1426      , 0.000       , 24.59       , 0.000       , 0.0         , 86.4        , 0           
1.1426      , 0.000       , 24.59       , 0.000       , 0.0         , 86.4        , 0           
1.3856      , 27.059      , 24.14       , 0.447       , 2.9         , 87.2        , 14277       
1.5188      , 46.275      , 23.39       , 0.894       , 14.4        , 87.9        , 22168       
1.7460      , 78.431      , 21.31       , 1.490       , 45.9        , 88.7        , 29893       
1.9341      , 100.000     , 18.18       , 0.149       , 77.5        , 91.0        , 35507       
1.1348      , 0.000       , 22.50       , 0.000       , 34.5        , 95.8        , 30794       
1.1426      , 0.000       , 23.99       , 0.000       , 0.0         , 92.6        , 8416        
1.1426      , 0.000       , 24.14       , 0.000       , 0.0         , 91.8        , 4289        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.29       , 0.149       , 0.0         , 91.8        , 2513        
1.1426      , 0.000       , 24.59       , 0.000       , 0.0         , 88.7        , 0           
